نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد,fa_date,en_date,fa_year
غشهداب,كشت و صنعت شهداب ناب خراسان,0,0,0,5298,0,5124,-174,-3.28,5298,0,0,0,0,253.0,20.94,0,0,0,5124,217007,24,1399-07-13,2020-10-04,1399
بجهرم,توسعه مولد نيروگاهي جهرم,0,0,0,3716,0,3754,38,1.02,3716,0,0,0,0,25.0,148.64,7,54885,3754,3770,3000,1,1399-07-13,2020-10-04,1399
شراز,پالايش نفت شيراز,0,0,0,106508,0,108024,1516,1.42,106508,0,0,0,0,2594.0,41.06,1,300,105050,113000,150,1,1399-07-13,2020-10-04,1399
غپونه,نوش پونه مشهد,0,0,0,17394,0,16931,-463,-2.66,17394,0,0,0,0,512.0,33.97,0,0,0,16931,161,1,1399-07-13,2020-10-04,1399
خچرخش,چرخشگر,0,0,0,22430,0,21330,-1100,-4.9,22430,0,0,0,0,10.0,2243.0,0,0,0,21330,1209902,36,1399-07-13,2020-10-04,1399
سمازن,سيمان‌مازندران‌,0,0,0,8570,0,8610,40,0.47,8570,0,0,0,0,681.0,12.58,1,50000,8250,9150,23658,1,1399-07-13,2020-10-04,1399
رنيك,جنرال مكانيك,0,0,0,23787,0,23573,-214,-0.9,23787,0,0,0,0,646.0,36.82,1,744,23572,23700,210,1,1399-07-13,2020-10-04,1399
آگاس,صندوق س.هستي بخش آگاه-س,0,0,0,78528,0,79496,968,1.23,78528,0,0,0,0,,,1,63,79400,79500,69,1,1399-07-13,2020-10-04,1399
اشاد10,مشاركت دولتي10-شرايط خاص001226,0,0,0,955000,0,955000,0,0.0,955000,0,0,0,0,,,1,25000,921000,960000,2600,1,1399-07-13,2020-10-04,1399
ونفت,سرمايه‌گذاري‌ صنعت‌ نفت‌,0,0,0,13780,0,13860,80,0.58,13780,0,0,0,0,1198.0,11.5,5,4085,13860,0,0,0,1399-07-13,2020-10-04,1399
غپاك,لبنيات‌ پاك‌,0,0,0,17780,0,16910,-870,-4.89,17780,0,0,0,0,-278.0,-63.96,0,0,0,16910,503007,32,1399-07-13,2020-10-04,1399
قاسم,قاسم ايران,0,0,0,15992,0,15221,-771,-4.82,15992,0,0,0,0,789.0,20.27,0,0,0,15221,630542,19,1399-07-13,2020-10-04,1399
بركت,گروه دارويي بركت,0,0,0,14570,0,15180,610,4.19,14570,0,0,0,0,338.0,43.11,13,15345,15180,15480,632,2,1399-07-13,2020-10-04,1399
شستا993,اجاره ت.اجتماعي-كاردان991226,0,0,0,932993,0,916283,-16710,-1.79,932993,0,0,0,0,,,1,2000,930000,1129300,136,1,1399-07-13,2020-10-04,1399
صشستا112,صكوك اجاره شستا112-6ماهه18%,0,0,0,780001,0,780001,0,0.0,780001,0,0,0,0,,,2,900,819001,0,0,0,1399-07-13,2020-10-04,1399
ولتجار,واسپاري تجارت وسرمايه ايرانيان,0,0,0,6916,0,6591,-325,-4.7,6916,0,0,0,0,206.0,33.57,0,0,0,6591,38887,7,1399-07-13,2020-10-04,1399
دتماد,توليدمواداوليه‌داروپخش‌,0,0,0,41870,0,42520,650,1.55,41870,0,0,0,0,2056.0,20.36,1,200,42500,42600,750,1,1399-07-13,2020-10-04,1399
فاما,صنعتي‌ آما,0,0,0,19470,0,20090,620,3.18,19470,0,0,0,0,901.0,21.61,1,250,20090,20490,100000,1,1399-07-13,2020-10-04,1399
كمند,صندوق س. با درآمد ثابت كمند,0,0,0,10150,0,10170,20,0.2,10150,0,0,0,0,,,1,680,10150,10170,323216,9,1399-07-13,2020-10-04,1399
سفاسي,شركت فارسيت اهواز,0,0,0,11683,0,11341,-342,-2.93,11683,0,0,0,0,-36.0,-324.53,0,0,0,11341,39702,10,1399-07-13,2020-10-04,1399
اجاد41,اجاره دولتي وزا.علوم-الف991224,0,0,0,1010000,0,1010000,0,0.0,1010000,0,0,0,0,,,1,1000,1000004,0,0,0,1399-07-13,2020-10-04,1399
ثشرقح,ح. سرمايه گذاري مسكن شمال شرق,0,0,0,3750,0,3750,0,0.0,3750,0,0,0,0,,,4,54779,3750,4720,50000,1,1399-07-13,2020-10-04,1399
زعف9908پ11,زعفران9908نگين سحرخيز(پ),0,0,0,79114,0,79114,0,0.0,79114,0,0,0,0,,,1,69,79114,0,0,0,1399-07-13,2020-10-04,1399
غاذر,كشت‌وصنعت‌پياذر,0,0,0,87850,0,84240,-3610,-4.11,87850,0,0,0,0,1087.0,80.82,0,0,0,84240,8833,9,1399-07-13,2020-10-04,1399
شپاس,نفت پاسارگاد,0,0,0,20987,0,21420,433,2.06,20987,0,0,0,0,549.0,38.23,1,300,19744,21991,350,1,1399-07-13,2020-10-04,1399
تسه9711,امتياز تسهيلات مسكن بهمن 97,0,0,0,790961,0,800001,9040,1.14,790961,0,0,0,0,,,1,50,640000,0,0,0,1399-07-13,2020-10-04,1399
شبندر,پالايش نفت بندرعباس,0,0,0,38310,0,38440,130,0.34,38310,0,0,0,0,949.0,40.37,10,46605,38440,38440,117,1,1399-07-13,2020-10-04,1399
