نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,EPS,P/E,خرید - تعداد,خرید - حجم,خرید - قیمت,فروش - قیمت,فروش - حجم,فروش - تعداد,fa_date,en_date,fa_year
مبين015,اجاره اعتماد مبين تمدن011019,0,0,0,953000,0,953000,0,0.0,953000,0,0,0,0,,,1,1250,950000,0,0,0,1399-07-13,2020-10-04,1399
خديزل,بهمن  ديزل,0,0,0,44838,0,44977,139,0.31,44838,0,0,0,0,2177.0,20.6,1,250,42730,55813,323,1,1399-07-13,2020-10-04,1399
تسه9708,امتياز تسهيلات مسكن آبان97,0,0,0,788080,0,796010,7930,1.01,788080,0,0,0,0,,,0,0,0,819978,46,1,1399-07-13,2020-10-04,1399
كرماشا,صنايع پتروشيمي كرمانشاه,0,0,0,47750,0,46800,-950,-1.99,47750,0,0,0,0,2058.0,23.2,1,110,46030,50120,15000,1,1399-07-13,2020-10-04,1399
شتوكا,توكا رنگ فولاد سپاهان,0,0,0,29598,0,28542,-1056,-3.57,29598,0,0,0,0,1109.0,26.69,0,0,0,30990,198,1,1399-07-13,2020-10-04,1399
شيراز,پتروشيمي‌شيراز,0,0,0,67620,0,65010,-2610,-3.86,67620,0,0,0,0,2700.0,25.04,1,91338,62990,71980,5000,1,1399-07-13,2020-10-04,1399
ذوب تبعي9912,اختيارف.تبعي ذوب991224,0,0,0,2000,0,2000,0,0.0,2000,0,0,0,0,,,1,2735,1950,0,0,0,1399-07-13,2020-10-04,1399
شلعاب,لعابيران‌,0,0,0,8960,0,8770,-190,-2.12,8960,0,0,0,0,12.0,746.67,1,76998,8610,9510,1450,1,1399-07-13,2020-10-04,1399
خمحركه,نيرو محركه‌,0,0,0,8350,0,8620,270,3.23,8350,0,0,0,0,110.0,75.91,2,20569,8770,8770,2745,2,1399-07-13,2020-10-04,1399
سپاس,صندوق س. پاداش سهامداري توسعه1,0,0,0,10160,0,10140,-20,-0.2,10160,0,0,0,0,,,1,800,9060,10170,763300,9,1399-07-13,2020-10-04,1399
نيرو,نيرو سرمايه,0,0,0,53998,0,52413,-1585,-2.94,53998,0,0,0,0,135.0,399.99,0,0,0,52413,1199,3,1399-07-13,2020-10-04,1399
قرن,پديده شيمي قرن,0,0,0,54900,0,55290,390,0.71,54900,0,0,0,0,2873.0,19.11,2,200,55290,55380,4067,2,1399-07-13,2020-10-04,1399
اتكاي,بيمه اتكايي ايرانيان,0,0,0,15801,0,16123,322,2.04,15801,0,0,0,0,411.0,38.45,2,2300,16123,0,0,0,1399-07-13,2020-10-04,1399
بمپنا,توليد برق عسلويه  مپنا,0,0,0,94472,0,94365,-107,-0.11,94472,0,0,0,0,1318.0,71.68,0,0,0,97640,9000,1,1399-07-13,2020-10-04,1399
شرنگي,شيميايي رنگين,0,0,0,122294,0,116830,-5464,-4.47,122294,0,0,0,0,874.0,139.92,0,0,0,116830,1778,6,1399-07-13,2020-10-04,1399
وثخوز,سرمايه گذاري و توسعه خوزستان,0,0,0,37973,0,36081,-1892,-4.98,37973,0,0,0,0,386.0,98.38,0,0,0,36081,87963,2,1399-07-13,2020-10-04,1399
تسه9903,امتياز تسهيلات مسكن خرداد99,0,0,0,800441,0,800100,-341,-0.04,800441,0,0,0,0,,,1,8,654159,0,0,0,1399-07-13,2020-10-04,1399
دروز,داروسازي‌ روزدارو,0,0,0,19670,0,18690,-980,-4.98,19670,0,0,0,0,172.0,114.36,0,0,0,18690,10330,1,1399-07-13,2020-10-04,1399
قصفها,قنداصفهان‌,0,0,0,171700,0,171400,-300,-0.17,171700,0,0,0,0,2936.0,58.48,0,0,0,171400,307,2,1399-07-13,2020-10-04,1399
رانفور,خدمات‌انفورماتيك‌,0,0,0,27240,0,28210,970,3.56,27240,0,0,0,0,1264.0,21.55,9,16202,28210,28980,1000,1,1399-07-13,2020-10-04,1399
شدوص,دوده‌ صنعتي‌ پارس‌,0,0,0,20800,0,19810,-990,-4.76,20800,0,0,0,0,842.0,24.7,0,0,0,19810,28067,5,1399-07-13,2020-10-04,1399
ثاژن,سخت آژند,0,0,0,9799,0,9616,-183,-1.87,9799,0,0,0,0,20.0,489.95,0,0,0,9616,2137637,52,1399-07-13,2020-10-04,1399
فولاژ,فولاد آلياژي ايران,0,0,0,29860,0,29970,110,0.37,29860,0,0,0,0,1380.0,21.64,1,350,28000,30160,2000,1,1399-07-13,2020-10-04,1399
تبريز112,مشاركت شهرداري تبريز-3ماهه18%,0,0,0,986651,0,1000000,13349,1.35,986651,0,0,0,0,,,2,222,975000,1010000,201,1,1399-07-13,2020-10-04,1399
تسه9812,امتياز تسهيلات مسكن اسفند98,0,0,0,799109,0,823000,23891,2.99,799109,0,0,0,0,,,1,8,644349,0,0,0,1399-07-13,2020-10-04,1399
رتاپ,تجارت الكترونيك  پارسيان,0,0,0,6310,0,6390,80,1.27,6310,0,0,0,0,314.0,20.1,1,11464,6390,6520,3500,2,1399-07-13,2020-10-04,1399
سفار,سيمان‌فارس‌,0,0,0,106550,0,101330,-5220,-4.9,106550,0,0,0,0,1654.0,64.42,0,0,0,101330,500,1,1399-07-13,2020-10-04,1399
پكويرح,ح. كوير تاير,0,0,0,21450,0,21620,170,0.79,21450,0,0,0,0,,,1,755,13410,0,0,0,1399-07-13,2020-10-04,1399
سهگمت,سيمان‌هگمتان‌,0,0,0,17960,0,18650,690,3.84,17960,0,0,0,0,1086.0,16.54,2,1139,16890,18680,530,1,1399-07-13,2020-10-04,1399
فجر,فولاد اميركبيركاشان,0,0,0,62990,0,63200,210,0.33,62990,0,0,0,0,2871.0,21.94,1,100,59050,65190,200000,2,1399-07-13,2020-10-04,1399
صفارس412,صكوك اجاره خليج فارس- 3ماهه16%,0,0,0,867000,0,867000,0,0.0,867000,0,0,0,0,,,2,12500,865000,0,0,0,1399-07-13,2020-10-04,1399
بساما,بيمه سامان,0,0,0,22204,0,22840,636,2.86,22204,0,0,0,0,2270.0,9.78,1,3000,23300,23300,100000,1,1399-07-13,2020-10-04,1399
وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,0,0,0,518220,0,495340,-22880,-4.42,518220,0,0,0,0,177.0,2927.8,0,0,0,495340,10614,41,1399-07-13,2020-10-04,1399
پتاير,ايران‌ تاير,0,0,0,96800,0,98000,1200,1.24,96800,0,0,0,0,3553.0,27.24,1,100,88690,102000,70,1,1399-07-13,2020-10-04,1399
سخوز,سيمان خوزستان,0,0,0,20480,0,20700,220,1.07,20480,0,0,0,0,700.0,29.26,0,0,0,22250,40000,1,1399-07-13,2020-10-04,1399
مشير9911,مشاركت شهرداري شيراز-3ماهه16%,0,0,0,985100,0,985100,0,0.0,985100,0,0,0,0,,,1,2000,985000,0,0,0,1399-07-13,2020-10-04,1399
اخزا723,اسنادخزانه-م23بودجه97-000824,0,0,0,828243,0,828500,257,0.03,828243,0,0,0,0,,,0,0,0,842720,200,2,1399-07-13,2020-10-04,1399
كورز,ورزيران‌,0,0,0,35161,0,36188,1027,2.92,35161,0,0,0,0,3341.0,10.52,4,11835,36919,0,0,0,1399-07-13,2020-10-04,1399
خاذين,سايپاآذين‌,0,0,0,8130,0,7840,-290,-3.57,8130,0,0,0,0,-17.0,-478.24,0,0,0,7840,167192,26,1399-07-13,2020-10-04,1399
تماوند,تامين سرمايه دماوند,0,0,0,12718,0,12860,142,1.12,12718,0,0,0,0,55.0,231.24,1,1267,12486,12924,100,1,1399-07-13,2020-10-04,1399
خپارس,پارس‌ خودرو,0,0,0,8210,0,8370,160,1.95,8210,0,0,0,0,29.0,283.1,8,12790,8370,8600,11552,3,1399-07-13,2020-10-04,1399
اخزا720,اسنادخزانه-م20بودجه97-000324,0,0,0,888763,0,891000,2237,0.25,888763,0,0,0,0,,,1,25000,871407,0,0,0,1399-07-13,2020-10-04,1399
زكوثر,سرمايه گذاري كشاورزي كوثر,0,0,0,22000,0,22060,60,0.27,22000,0,0,0,0,974.0,22.59,1,250,22060,22060,1000,1,1399-07-13,2020-10-04,1399
كشرق,صنعتي و معدني شمال شرق شاهرود,0,0,0,73949,0,71761,-2188,-2.96,73949,0,0,0,0,1367.0,54.1,0,0,0,71761,2463,6,1399-07-13,2020-10-04,1399
كصدف,كاشي صدف سرام استقلال آباده,0,0,0,16263,0,16745,482,2.96,16263,0,0,0,0,-137.0,-118.71,1,5000,16745,0,0,0,1399-07-13,2020-10-04,1399
حكمت01,مشاركت حكمت ايرانيان 140107,0,0,0,1100000,0,1100000,0,0.0,1100000,0,0,0,0,,,1,550,1000000,1020000,500,1,1399-07-13,2020-10-04,1399
تپمپي,پمپ‌ سازي‌ ايران‌,0,0,0,51330,0,48780,-2550,-4.97,51330,0,0,0,0,907.0,56.59,0,0,0,48780,4844109,113,1399-07-13,2020-10-04,1399
كبافق,معادن‌ بافق‌,0,0,0,28060,0,28870,810,2.89,28060,0,0,0,0,5.0,5612.0,1,877,28400,29410,15850,1,1399-07-13,2020-10-04,1399
وسبحان,سرمايه گذاري سبحان,0,0,0,9992,0,9950,-42,-0.42,9992,0,0,0,0,1962.0,5.09,1,2007,9800,10120,100000,1,1399-07-13,2020-10-04,1399
وسرمد,بيمه  سرمد,0,0,0,6501,0,6316,-185,-2.85,6501,0,0,0,0,602.0,10.8,0,0,0,6316,207373,4,1399-07-13,2020-10-04,1399
قمرو,قند مرودشت‌,0,0,0,37250,0,35400,-1850,-4.97,37250,0,0,0,0,674.0,55.27,0,0,0,35400,318796,28,1399-07-13,2020-10-04,1399
ارزش,صندوق س ارزش آفرين بيدار-سهام,0,0,0,12020,0,12130,110,0.92,12020,0,0,0,0,,,1,10000,11660,12300,5012,2,1399-07-13,2020-10-04,1399
كوير,توليدي فولاد سپيد فراب كوير,0,0,0,13810,0,13940,130,0.94,13810,0,0,0,0,475.0,29.07,4,5091,13940,14000,11,1,1399-07-13,2020-10-04,1399
خراسان,پتروشيمي خراسان,0,0,0,92870,0,92900,30,0.03,92870,0,0,0,0,5085.0,18.26,1,57,88210,93430,10000,1,1399-07-13,2020-10-04,1399
دسبحا,گروه دارويي سبحان,0,0,0,17110,0,17400,290,1.69,17110,0,0,0,0,1006.0,17.01,0,0,0,17940,1000,1,1399-07-13,2020-10-04,1399
مصفها112,مشاركت ش اصفهان112-3ماهه18%,0,0,0,860000,0,860000,0,0.0,860000,0,0,0,0,,,2,15000,855000,0,0,0,1399-07-13,2020-10-04,1399
صبا1401,اجاره مهندسي صبا نفت14010225,0,0,0,750000,0,750000,0,0.0,750000,0,0,0,0,,,2,237,825000,0,0,0,1399-07-13,2020-10-04,1399
شفارس,صنايع‌ شيميايي‌ فارس‌,0,0,0,34860,0,33250,-1610,-4.62,34860,0,0,0,0,293.0,118.98,0,0,0,33250,2029,3,1399-07-13,2020-10-04,1399
مبين016,اجاره اعتماد مبين اميد011019,0,0,0,887400,0,887400,0,0.0,887400,0,0,0,0,,,1,1250,945000,0,0,0,1399-07-13,2020-10-04,1399
وگستر,گسترش سرمايه گذاري ايرانيان,0,0,0,20331,0,19588,-743,-3.65,20331,0,0,0,0,2460.0,8.26,0,0,0,19588,13588,4,1399-07-13,2020-10-04,1399
ودي,بيمه  دي,0,0,0,19110,0,19250,140,0.73,19110,0,0,0,0,2603.0,7.34,1,1000,17821,0,0,0,1399-07-13,2020-10-04,1399
شرانل,نفت ايرانول,0,0,0,26625,0,27094,469,1.76,26625,0,0,0,0,1409.0,18.9,1,190,27094,28000,2000,1,1399-07-13,2020-10-04,1399
پشاهن,توليدي پلاستيك‌ شاهين,0,0,0,7369,0,7737,368,4.99,7369,0,0,0,0,927.0,7.95,7,175754,7737,0,0,0,1399-07-13,2020-10-04,1399
شگل,گلتاش‌,0,0,0,25940,0,26400,460,1.77,25940,0,0,0,0,1876.0,13.83,0,0,0,26930,20716,1,1399-07-13,2020-10-04,1399
كالا,بورس كالاي ايران,0,0,0,43300,0,44930,1630,3.76,43300,0,0,0,0,153.0,283.01,1,3930,45460,45960,8,1,1399-07-13,2020-10-04,1399
حآسا,آسيا سير ارس,0,0,0,12010,0,11822,-188,-1.57,12010,0,0,0,0,205.0,58.59,0,0,0,12490,1000,1,1399-07-13,2020-10-04,1399
گكيش,توريستي ورفاهي آبادگران كيش,0,0,0,72841,0,70658,-2183,-3.0,72841,0,0,0,0,120.0,607.01,0,0,0,70658,83689,7,1399-07-13,2020-10-04,1399
قپيرا,فرآورده‌هاي‌غدايي‌وقندپيرانشهر,0,0,0,79270,0,75390,-3880,-4.89,79270,0,0,0,0,2178.0,36.4,0,0,0,78000,900,1,1399-07-13,2020-10-04,1399
زنگان,صنعت روي زنگان,0,0,0,163396,0,155298,-8098,-4.96,163396,0,0,0,0,538.0,303.71,0,0,0,155298,1633,14,1399-07-13,2020-10-04,1399
كهمدا,شيشه‌ همدان‌,0,0,0,24140,0,24800,660,2.73,24140,0,0,0,0,1253.0,19.27,1,50000,23000,26430,380,1,1399-07-13,2020-10-04,1399
اخزا704,اسنادخزانه-م4بودجه97-991022,0,0,0,957101,0,960000,2899,0.3,957101,0,0,0,0,,,1,25000,948697,0,0,0,1399-07-13,2020-10-04,1399
سخزر,سيمان‌ خزر,0,0,0,27780,0,27730,-50,-0.18,27780,0,0,0,0,813.0,34.17,0,0,0,29350,20490,3,1399-07-13,2020-10-04,1399
شصدفح,ح . صنعتي دوده فام,0,0,0,18483,0,18382,-101,-0.55,18483,0,0,0,0,,,1,5000,18110,18400,104,2,1399-07-13,2020-10-04,1399
كماسه,تامين‌ ماسه‌ ريخته‌گري‌,0,0,0,60320,0,58910,-1410,-2.34,60320,0,0,0,0,769.0,78.44,0,0,0,58910,29140,16,1399-07-13,2020-10-04,1399
اخزا811,اسنادخزانه-م11بودجه98-001013,0,0,0,809668,0,811000,1332,0.16,809668,0,0,0,0,,,0,0,0,815999,500,1,1399-07-13,2020-10-04,1399
دارو,كارخانجات‌داروپخش‌,0,0,0,51900,0,53340,1440,2.77,51900,0,0,0,0,3194.0,16.25,1,120,50000,53620,1000,1,1399-07-13,2020-10-04,1399
صايپا998,صكوك مرابحه سايپا998-3ماهه 18%,0,0,0,994950,0,994950,0,0.0,994950,0,0,0,0,,,1,8917,994950,1020000,220,1,1399-07-13,2020-10-04,1399
وتوس,توسعه‌شهري‌توس‌گستر,0,0,0,28430,0,28620,190,0.67,28430,0,0,0,0,275.0,103.38,5,2875,28620,29690,200,1,1399-07-13,2020-10-04,1399
صنوين,صندوق سرمايه‌گذاري صنوين-مختلط,0,0,0,112460,0,113800,1340,1.19,112460,0,0,0,0,,,1,25801,110000,115000,1000,1,1399-07-13,2020-10-04,1399
اخزا818,اسنادخزانه-م18بودجه98-010614,0,0,0,713841,0,712602,-1239,-0.17,713841,0,0,0,0,,,1,8,632150,730000,500,1,1399-07-13,2020-10-04,1399
تسه9901,امتياز تسهيلات مسكن فروردين99,0,0,0,797276,0,829100,31824,3.99,797276,0,0,0,0,,,1,8,653255,0,0,0,1399-07-13,2020-10-04,1399
فپنتا,سپنتا,0,0,0,334710,0,346800,12090,3.61,334710,0,0,0,0,4487.0,74.6,1,34,346800,480400,100,1,1399-07-13,2020-10-04,1399
شبصير,توليدات پتروشيمي قائد بصير,0,0,0,139457,0,140400,943,0.68,139457,0,0,0,0,3555.0,39.23,1,45,113545,145500,125,1,1399-07-13,2020-10-04,1399
همراه,شركت ارتباطات سيار ايران,0,0,0,35130,0,35170,40,0.11,35130,0,0,0,0,1966.0,17.87,2,3040,35170,37990,140,1,1399-07-13,2020-10-04,1399
صخود0012,ص مرابحه خودرو0012- 3ماهه 18%,0,0,0,1020000,0,1020000,0,0.0,1020000,0,0,0,0,,,1,1400,1020000,1030000,1400,1,1399-07-13,2020-10-04,1399
افاد84,منفعت دولت8-ش.خاص ساير0205,0,0,0,840000,0,840000,0,0.0,840000,0,0,0,0,,,1,500,840000,0,0,0,1399-07-13,2020-10-04,1399
ثباغ,شهر سازي و خانه سازي باغميشه,0,0,0,22641,0,22641,0,0.0,22641,0,0,0,0,273.0,82.93,2,528,22641,22641,220,1,1399-07-13,2020-10-04,1399
رافزا,رايان هم افزا,0,0,0,30450,0,31806,1356,4.45,30450,0,0,0,0,2409.0,12.64,37,71605,31806,31806,70,12,1399-07-13,2020-10-04,1399
پارتا,مجتمع‌صنعتي‌آرتاويل‌تاير,0,0,0,64498,0,64000,-498,-0.77,64498,0,0,0,0,2270.0,28.41,1,81,62600,0,0,0,1399-07-13,2020-10-04,1399
كاريس,صندوق س.سپهر كاريزما-س,0,0,0,215041,0,218090,3049,1.42,215041,0,0,0,0,,,1,200,201000,222000,550,2,1399-07-13,2020-10-04,1399
ديران,ايران‌دارو,0,0,0,22460,0,21600,-860,-3.83,22460,0,0,0,0,689.0,32.6,0,0,0,21600,19746,10,1399-07-13,2020-10-04,1399
مصفها012,مشاركت ش اصفهان012-3ماهه20%,0,0,0,1000000,0,1000000,0,0.0,1000000,0,0,0,0,,,2,15000,995000,0,0,0,1399-07-13,2020-10-04,1399
پترول,گروه پتروشيمي س. ايرانيان,0,0,0,18560,0,18560,0,0.0,18560,0,0,0,0,4603.0,4.03,76,239482,18560,18560,109800,2,1399-07-13,2020-10-04,1399
اراد23,مرابحه عام دولت2-ش.خ تمدن0212,0,0,0,625000,0,625000,0,0.0,625000,0,0,0,0,,,1,500,656250,0,0,0,1399-07-13,2020-10-04,1399
بشهاب,لامپ‌  پارس‌ شهاب‌,0,0,0,74170,0,70470,-3700,-4.99,74170,0,0,0,0,1231.0,60.25,0,0,0,70470,13367,9,1399-07-13,2020-10-04,1399
مگچسا104,مشاركت گچساران- 3 ماهه 18%,0,0,0,969600,0,969600,0,0.0,969600,0,0,0,0,,,1,1000,960000,0,0,0,1399-07-13,2020-10-04,1399
اروند09,منفعت صبا اروند نوين 14001222,0,0,0,910500,0,910500,0,0.0,910500,0,0,0,0,,,1,2000,920000,0,0,0,1399-07-13,2020-10-04,1399
زعف9908پ16,زعفران9908نگين بيرجند(پ),0,0,0,79114,0,79114,0,0.0,79114,0,0,0,0,,,1,71,71580,0,0,0,1399-07-13,2020-10-04,1399
بكاب,صنايع‌جوشكاب‌يزد,0,0,0,123770,0,129440,5670,4.58,123770,0,0,0,0,2361.0,52.42,0,0,0,139480,4218,2,1399-07-13,2020-10-04,1399
ختوقا,قطعات‌ اتومبيل‌ ايران‌,0,0,0,3840,0,3860,20,0.52,3840,0,0,0,0,54.0,71.11,11,59069,3860,4010,1242,1,1399-07-13,2020-10-04,1399
صايپا203,صكوك مرابحه سايپا203-3ماهه 16%,0,0,0,956210,0,951000,-5210,-0.54,956210,0,0,0,0,,,1,147,951000,989999,2709,1,1399-07-13,2020-10-04,1399
دپارس,پارس‌ دارو,0,0,0,95010,0,99400,4390,4.62,95010,0,0,0,0,6572.0,14.46,0,0,0,103580,1000,1,1399-07-13,2020-10-04,1399
هرمز,فولاد هرمزگان جنوب,0,0,0,14797,0,14290,-507,-3.43,14797,0,0,0,0,635.0,23.3,1,2500,14100,14680,9725,1,1399-07-13,2020-10-04,1399
پارند,صندوق س. پارند پايدار سپهر,0,0,0,11920,0,11920,0,0.0,11920,0,0,0,0,,,1,500,11900,12040,250000,3,1399-07-13,2020-10-04,1399
شخارك,پتروشيمي‌ خارك‌,0,0,0,48580,0,48190,-390,-0.8,48580,0,0,0,0,3148.0,15.43,1,4000,47010,49600,1246,2,1399-07-13,2020-10-04,1399
بگيلان,توسعه مسير برق گيلان,0,0,0,33426,0,32400,-1026,-3.07,33426,0,0,0,0,364.0,91.83,1,165,31911,32400,193725,1194,1399-07-13,2020-10-04,1399
داريك,صندوق س.اعتماد داريك-د,0,0,0,10043,0,10009,-34,-0.34,10043,0,0,0,0,,,0,0,0,11000,3800,1,1399-07-13,2020-10-04,1399
زقيام,كشت و دام قيام اصفهان,0,0,0,28723,0,27330,-1393,-4.85,28723,0,0,0,0,955.0,30.08,0,0,0,27330,17366,7,1399-07-13,2020-10-04,1399
دبالك,مواد اوليه دارويي البرز بالك,0,0,0,16581,0,16464,-117,-0.71,16581,0,0,0,0,437.0,37.94,0,0,0,16464,4,1,1399-07-13,2020-10-04,1399
قشير,قند شيروان قوچان و بجنورد,0,0,0,27162,0,25837,-1325,-4.88,27162,0,0,0,0,230.0,118.1,0,0,0,25837,30782,15,1399-07-13,2020-10-04,1399
غبهار,كشت وصنعت بهاران گلبهار خراسان,0,0,0,38412,0,37267,-1145,-2.98,38412,0,0,0,0,654.0,58.73,0,0,0,37267,410986,20,1399-07-13,2020-10-04,1399
ثروتم,صندوق س. ثروت آفرين پارسيان-م,0,0,0,97019,0,97150,131,0.14,97019,0,0,0,0,,,0,0,0,110000,150,1,1399-07-13,2020-10-04,1399
ولصنم,ليزينگ‌صنعت‌ومعدن‌,0,0,0,8890,0,9240,350,3.94,8890,0,0,0,0,1321.0,6.73,1,1000,9240,9520,1160,1,1399-07-13,2020-10-04,1399
سپ,پرداخت الكترونيك سامان كيش,0,0,0,21090,0,21710,620,2.94,21090,0,0,0,0,985.0,21.41,2,483,21710,0,0,0,1399-07-13,2020-10-04,1399
اخزا718,اسنادخزانه-م18بودجه97-000525,0,0,0,868821,0,866113,-2708,-0.31,868821,0,0,0,0,,,0,0,0,883300,3650,2,1399-07-13,2020-10-04,1399
شپترو,پتروشيمي آبادان,0,0,0,6053,0,6006,-47,-0.78,6053,0,0,0,0,-139.0,-43.55,1,1000,6006,6006,2000,1,1399-07-13,2020-10-04,1399
